      - Part One --   - Part Two --   - Difference -
Day      Time  Rank      Time  Rank      Time   Rank  LoC
 25   3:23:19   373   3:23:26   314   0:00:07    -59   21
 24   0:24:16    34   0:24:57    30   0:00:41     -4   47
 23   0:15:00    24   0:25:20     8   0:10:20    -16   29
 22   0:23:47   228   0:51:21    57   0:27:34   -171   26
 21   0:24:45    64   0:52:48    98   0:28:03    +34   43
 20   0:08:57    82   0:31:52   168   0:22:55    +86   18
 19   0:07:05    40   1:28:23   134   1:21:18    +94   13
 18   0:13:01   120   0:14:42   122   0:01:41     +2    9
 17   0:24:08   127   0:43:33   164   0:19:25    +37   30
 16   0:10:14    88   0:13:19    96   0:03:05     +8   18
 15   0:14:29   138   0:15:12   123   0:00:43    -15    8
 14   0:53:57   241   1:03:32   173   0:09:35    -68   29
 13   0:38:36   212   0:42:18   166   0:03:42    -46   22
 12   0:08:27    20   0:10:00    17   0:01:33     -3   24
 11   1:05:54    62   2:09:26    79   1:03:32    +17    0
 10   0:56:04   207   1:03:15   210   0:07:11     +3   32
  9   0:23:31   230   0:35:37   119   0:12:06   -111   15
  8   0:20:05   104   0:20:52    87   0:00:47    -17   25
  7   1:10:03   596   1:51:17   547   0:41:14    -49   24
  6   0:04:00    66   0:04:28    45   0:00:28    -21   12
  5   0:49:03   584   0:54:20   471   0:05:17   -113   22
  4   0:09:56    15   0:49:23   239   0:39:27   +224   16
  3   0:02:16    20   0:07:13    35   0:04:57    +15   13
  2   0:11:56   142   0:21:02   117   0:09:06    -25   21
  1   0:12:24    52   0:18:51    25   0:06:27    -27   35

Total -- Time: 19:56:27, LoC: 552, Rank: 62, Points: 1179
