You have 1179 points. (Rank 62 on overall leaderboard)

      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   03:23:19   373      0   03:23:26   314      0
 24   00:24:16    34     67   00:24:57    30     71
 23   00:15:00    24     77   00:25:20     8     93
 22   00:23:47   228      0   00:51:21    57     44
 21   00:24:45    64     37   00:52:48    98      3
 20   00:08:57    82     19   00:31:52   168      0
 19   00:07:05    40     61   01:28:23   134      0
 18   00:13:01   120      0   00:14:42   122      0
 17   00:24:08   127      0   00:43:33   164      0
 16   00:10:14    88     13   00:13:19    96      5
 15   00:14:29   138      0   00:15:12   123      0
 14   00:53:57   241      0   01:03:32   173      0
 13   00:38:36   212      0   00:42:18   166      0
 12   00:08:27    20     81   00:10:00    17     84
 11   01:05:54    62     39   02:09:26    79     22
 10   00:56:04   207      0   01:03:15   210      0
  9   00:23:31   230      0   00:35:37   119      0
  8   00:20:05   104      0   00:20:52    87     14
  7   01:10:03   596      0   01:51:17   547      0
  6   00:04:00    66     35   00:04:28    45     56
  5   00:49:03   584      0   00:54:20   471      0
  4   00:09:56    15     86   00:49:23   239      0
  3   00:02:16    20     81   00:07:13    35     66
  2   00:11:56   142      0   00:21:02   117      0
  1   00:12:24    52     49   00:18:51    25     76
