You have 43 points.

      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   03:13:41  1152      0   03:14:01  1013      0
 24   04:58:54  1181      0   05:12:42  1166      0
 23   03:10:21  1328      0   03:56:14   814      0
 22   12:56:09  2734      0   13:33:32  2625      0
 21       >24h  3017      0       >24h  2954      0
 20   01:28:16  1064      0   11:44:50  2720      0
 19   12:52:37  3502      0   12:55:18  3421      0
 18   01:14:00   982      0   01:48:00   519      0
 17   02:56:10  1637      0   03:04:19  1346      0
 16   04:29:25  2047      0   05:21:07  1577      0
 15   06:29:00  3343      0   06:40:01  3125      0
 14   15:18:04  4632      0   15:53:08  3766      0
 13   01:52:43  1676      0   06:27:27  2563      0
 12   02:02:32  1919      0   06:37:21  3516      0
 11   06:28:01  3236      0   06:47:20  3096      0
 10   05:07:11  2528      0   05:21:15  1931      0
  9   01:03:29  1156      0   01:05:53  1086      0
  8   01:44:09  1988      0   01:54:07  2036      0
  7   06:14:46  5091      0   06:33:09  2785      0
  6   01:31:27  2189      0   01:34:44  2087      0
  5   00:05:47   351      0   00:06:51   255      0
  4   00:01:54   102      0   00:04:19   142      0
  3   00:18:36   313      0   00:35:39   222      0
  2   00:03:17   194      0   00:05:49    87     14
  1   00:03:54   107      0   00:05:22    72     29
