You have 74 points.

      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25       >24h   3904      0       >24h   2607      0
 24       >24h   3252      0       >24h   3157      0
 23   00:09:26    219      0       >24h   3123      0
 22   05:09:00   1413      0       >24h   3570      0
 21   14:14:19   2016      0   15:24:14   1733      0
 20   17:49:12   1900      0   17:49:57   1775      0
 19   00:10:36     68     33   00:51:25     60     41
 18   00:18:52    265      0   00:29:54    207      0
 17       >24h   3220      0       >24h   3192      0
 16       >24h   4888      0       >24h   4637      0
 15       >24h   3514      0       >24h   3310      0
 14   19:26:29   5652      0       >24h   5477      0
 13   12:57:19   3866      0   13:58:28   3437      0
 12   06:53:33   3786      0   07:01:47   2804      0
 11   06:43:36   5078      0   06:51:52   4017      0
 10   13:06:23   5949      0   13:06:46   5907      0
  9   11:01:44   5606      0   14:24:23   5377      0
  8       >24h   8735      0       >24h   8507      0
  7       >24h  10912      0       >24h   9548      0
  6   14:33:52   7715      0   14:43:56   7124      0
  5       >24h  16863      0       >24h  16133      0
  4       >24h  17581      0       >24h  16919      0
  3   00:11:57    407      0   00:22:53    647      0
  2   04:23:14   6753      0   04:28:04   5491      0
  1   00:37:11   1989      0   00:46:38   1430      0
