      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:14:36    848      0   00:14:42    707      0
 24   00:27:27   1611      0   00:41:31   1080      0
 23   00:22:33    615      0   07:32:16   4411      0
 22   00:37:19   3566      0   01:35:34   2718      0
 21   02:02:42   3473      0   02:04:04   3183      0
 20   00:25:17    385      0   02:09:50    511      0
 19   00:45:57   1241      0   02:27:56   2058      0
 18   00:22:10    884      0   01:56:03   3642      0
 17   00:21:25    636      0   00:35:09   1031      0
 16   00:16:42   1444      0   00:54:17   1518      0
 15   00:28:37   3287      0   00:30:03   1870      0
 14   00:14:55    845      0   00:40:27   1200      0
 13   00:06:29    601      0   00:22:29    246      0
 12   00:13:48   1572      0   00:24:02   1004      0
 11   00:27:31   2014      0   00:36:47   1296      0
 10   00:07:01    928      0   00:23:44    982      0
  9   00:12:22   2946      0   00:18:03   1901      0
  8   00:09:18   1993      0   00:16:36   1110      0
  7   00:18:42    925      0   00:29:17    942      0
  6   00:05:51   1536      0   00:10:34   1280      0
  5   00:12:46   1929      0   00:17:41   1785      0
  4   00:06:08    460      0   00:42:12   2502      0
  3   00:58:15   9139      0   01:00:07   7879      0
  2   02:39:15  14547      0   02:44:55  13573      0
  1   01:00:00   5972      0   01:00:45   5412      0
