      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:16:43   600      0   00:16:44   493      0
 24   07:40:25  2792      0   08:15:14  2852      0
 23   00:37:06   526      0   01:17:09   150      0
 22   00:10:13   532      0   02:40:48  1652      0
 21   00:11:19   870      0   01:22:05  1910      0
 20   00:36:37  1017      0   00:41:57  1050      0
 19   03:55:03  1754      0   04:45:20  1928      0
 18   01:29:45  1006      0   01:33:13   915      0
 17   00:20:26   993      0   00:33:03  1256      0
 16   00:52:53  1413      0   01:02:17  1139      0
 15   00:58:21  3792      0   03:54:52  6824      0
 14   00:13:27  1624      0   00:52:49  2395      0
 13   00:16:05  1204      0   00:18:20   702      0
 12   01:19:21  5910      0   01:45:11  5444      0
 11   00:41:07  3797      0   00:43:41  3565      0
 10   00:10:49  1782      0   00:23:28  2422      0
  9   00:10:24  1770      0   00:30:56  1970      0
  8   00:05:20   328      0   00:52:24  1568      0
  7   00:05:53  2047      0   00:10:32  1980      0
  6   00:07:48  1962      0   00:34:17  4142      0
  5   00:23:24  3034      0   00:35:17  2627      0
  4   00:27:37  2264      0   00:30:53  1592      0
  3   00:11:09  3494      0   00:32:27  2840      0
  2   00:02:46   778      0   00:04:42   717      0
  1   00:01:43   447      0   00:07:20  1436      0
