      -------Part 1--------   --------Part 2--------
Day       Time  Rank  Score       Time   Rank  Score
 25   00:38:51  1721      0   00:38:52   1435      0
 24   01:43:08  1931      0   02:22:39   2164      0
 23   01:00:42  1567      0   01:16:36   1796      0
 22   02:39:00  3813      0   05:17:27   2109      0
 21   00:07:49   457      0   00:20:25    185      0
 20   00:20:21   199      0   00:24:48    154      0
 19   11:38:38  5477      0   11:44:05   4459      0
 18   00:10:13  1334      0   00:42:08   1434      0
 17   00:49:53   956      0       >24h  10531      0
 16   00:30:54   186      0   12:36:37   5078      0
 15   00:49:35  3277      0   01:13:59   1762      0
 14   00:34:07  2239      0   00:39:45   1927      0
 13   00:29:42  1874      0   00:40:49   1913      0
 12   00:29:48  2033      0   00:36:04   1993      0
 11   00:18:16   380      0   00:21:51    202      0
 10   00:12:15  1646      0   00:26:55   1726      0
  9   00:18:56  1684      0   00:46:49   3038      0
  8   00:15:37  2047      0   00:26:15   1634      0
  7   00:29:38  1981      0   00:33:14   1514      0
  6   00:04:43  1786      0   00:05:16   1313      0
  5   00:08:58   329      0   00:12:39    517      0
  4   00:03:13   413      0   00:04:35    314      0
  3   00:05:35   743      0   00:09:06    622      0
  2   00:06:28   986      0   00:10:20    845      0
  1   00:01:58   406      0   00:03:40    616      0
