You have 1 point.

      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:54:36  1308      0   00:54:37  1131      0
 24   00:15:56   100      1   03:31:43  1604      0
 23   00:15:41   401      0   06:24:05  3724      0
 22   01:29:09  2101      0   16:41:35  8994      0
 21   00:10:18   808      0   09:59:56  4255      0
 20   00:43:58   716      0   07:46:08  5000      0
 19   00:25:19  1191      0   03:44:09  4112      0
 18   00:12:25   286      0   00:25:50   166      0
 17   03:04:15  3651      0   03:20:12  3277      0
 16   00:42:14  2554      0   00:55:52  2616      0
 15   00:04:51  1146      0   00:23:39  1367      0
 14   00:09:27  1005      0   00:38:27  1121      0
 13   00:16:58   724      0   00:48:08  2063      0
 12   00:34:42  2297      0   01:33:42  1758      0
 11   00:19:38  2008      0   00:23:37  1365      0
 10   00:47:12  3045      0   01:55:08  2371      0
  9   00:10:38  1406      0   00:13:39  1236      0
  8   00:05:58   697      0   00:52:37  4042      0
  7   00:25:53  1746      0   00:38:44  1610      0
  6   00:08:23  1883      0   00:15:35  3052      0
  5   00:18:49  1157      0   02:02:32  4459      0
  4   00:06:48  1495      0   00:20:09  2214      0
  3   00:20:08  1485      0   00:27:32  1168      0
  2   00:10:46  1494      0   00:14:48  1503      0
  1   00:04:31  1729      0   00:24:25  2381      0
