
      --------Part 1--------   -------Part 2--------
Day       Time   Rank  Score       Time  Rank  Score
 25   00:11:29    944      0   00:11:30   766      0
 24   03:06:55   7084      0   05:47:23  3241      0
 23   00:17:12   1901      0   00:31:09  1347      0
 22   00:08:26   1053      0   00:35:40  1104      0
 21   01:08:10    551      0   02:08:10   720      0
 20   00:34:43   1722      0   01:10:05  1685      0
 19   00:11:16   1497      0   00:16:00  1242      0
 18   00:21:47   2562      0   00:26:15  1963      0
 17   00:22:43   1311      0   01:09:04   321      0
 16   00:31:15   2154      0   01:10:05  2051      0
 15   00:37:01   2921      0   00:59:25  1046      0
 14   00:14:51   1275      0   00:25:48   452      0
 13   00:10:03    607      0   00:26:01   816      0
 12   00:30:23   3522      0   01:16:28  2651      0
 11   00:13:45   3670      0   01:23:28  6146      0
 10   00:16:34   2316      0   00:17:22  1649      0
  9   00:12:16    719      0   00:45:21  1584      0
  8   00:25:20   3433      0   00:33:07  2994      0
  7   00:18:52   3437      0   00:20:27  2340      0
  6   00:21:42   4004      0   00:54:09  3564      0
  5   00:18:51   3722      0   00:25:50  2417      0
  4   00:09:13   1417      0   00:14:24   870      0
  3   00:03:11    603      0   00:06:06   363      0
  2   00:05:45    742      0   00:12:23  1278      0
  1   01:01:21  10269      0   01:02:32  9442      0
